case,config,test_sequence,model,runs,ate_before_m,ate_after_m,ate_after_seed_sd_m,improvement_pct,improvement_seed_sd_pct,r2_mean,n_test
K00i_global_diagnostic,motion,K00i,Oracle_previous_GT,1,30.015467784486184,0.2847860683335724,0.0,99.05120229883352,0.0,0.9997966191408514,393
K00i_global_diagnostic,motion,K00i,Ridge,1,30.015467784486184,41.25132895266212,0.0,-37.433570080767865,0.0,-3.267253913920862,393
K00i_global_diagnostic,motion,K00i,Zero,1,30.015467784486184,30.015467784486184,0.0,0.0,0.0,-1.2592423950011695,393
K00i_global_diagnostic,rich,K00i,CfC_fixed,3,30.015467784486184,36.39855874582673,1.9484123178646622,-21.266005271587723,6.491360827205632,-2.3318362026972186,393
K00i_global_diagnostic,rich,K00i,CfC_fixed_head,3,30.015467784486184,35.20726383854338,0.3970804244467394,-17.29706860254443,1.3229193271209798,-2.1087971555388254,393
K00i_global_diagnostic,rich,K00i,CfC_time,3,30.015467784486184,36.367847013081914,1.9360582130172765,-21.16368558440067,6.450201699065142,-2.3261117357037606,393
K00i_global_diagnostic,rich,K00i,CfC_time_head,3,30.015467784486184,34.89455214065989,0.1544148328428953,-16.255233438992104,0.5144508623074265,-2.053488991223361,393
K00i_global_diagnostic,rich,K00i,GRU,3,30.015467784486184,36.50169626053307,0.6398780749023799,-21.609619822081754,2.1318277612621657,-2.3421976585094737,393
K00i_global_diagnostic,rich,K00i,MLP,3,30.015467784486184,34.87186830551369,0.8521797094513768,-16.179659620489357,2.8391351937944287,-2.0512817195986184,393
K00i_global_diagnostic,rich,K00i,Mean,1,30.015467784486184,35.04325381485149,0.0,-16.750650252947153,0.0,-2.079508769967092,393
K00i_global_diagnostic,rich,K00i,Oracle_previous_GT,1,30.015467784486184,0.2847860683335724,0.0,99.05120229883352,0.0,0.9997966191408514,393
K00i_global_diagnostic,rich,K00i,Ridge,1,30.015467784486184,43.06715012471727,0.0,-43.48318818131827,0.0,-3.6511984001538025,393
K00i_global_diagnostic,rich,K00i,Zero,1,30.015467784486184,30.015467784486184,0.0,0.0,0.0,-1.2592423950011695,393
KITTI_transfer,motion,K03,CfC_fixed,3,20.973774896345454,22.761259758831795,1.9855125961471594,-8.522475669355066,9.466643968287858,-3.8850412861795625,318
KITTI_transfer,motion,K03,CfC_fixed_head,3,20.973774896345454,21.782926954342305,1.400449726352672,-3.8579228679422912,6.677146738123385,-3.458690059654207,318
KITTI_transfer,motion,K03,CfC_time,3,20.973774896345454,22.907759215762336,2.246981657939086,-9.220964413773048,10.713291570277166,-3.9580071054968964,318
KITTI_transfer,motion,K03,CfC_time_head,3,20.973774896345454,22.856869908384635,1.6099979258989332,-8.978331374993902,7.676242993241361,-3.9132218907343135,318
KITTI_transfer,motion,K03,GRU,3,20.973774896345454,19.7103133373145,0.4558255905666613,6.024006480831955,2.173312113910815,-2.6374973541364057,318
KITTI_transfer,motion,K03,MLP,3,20.973774896345454,19.551522223284085,0.7369921909549991,6.781100112355965,3.5138748012567587,-2.5822939959623294,318
KITTI_transfer,motion,K03,Mean,1,20.973774896345454,18.57096983196519,0.0,11.456235590661068,0.0,-2.227398477076429,318
KITTI_transfer,motion,K03,Oracle_previous_GT,1,20.973774896345454,0.11560585524831683,0.0,99.44880759033768,0.0,0.999874932915993,318
KITTI_transfer,motion,K03,Ridge,1,20.973774896345454,22.50892668184685,0.0,-7.319387154140222,0.0,-3.7412515057058258,318
KITTI_transfer,motion,K03,Zero,1,20.973774896345454,20.973774896345454,0.0,0.0,0.0,-3.116580626196779,318
KITTI_transfer,motion,K04i,CfC_fixed,3,6.060342605130697,15.896458853439425,3.299945115587199,-162.30297343225206,54.45146142057149,-29.749882438421547,92
KITTI_transfer,motion,K04i,CfC_fixed_head,3,6.060342605130697,23.939583048381877,5.996674457939324,-295.0202918909994,98.94942990289904,-70.05295577976533,92
KITTI_transfer,motion,K04i,CfC_time,3,6.060342605130697,15.84608370135696,3.252646613143794,-161.47174728936344,53.6710022035734,-29.52718410989128,92
KITTI_transfer,motion,K04i,CfC_time_head,3,6.060342605130697,23.668432983879025,4.244780157773412,-290.5461213338217,70.04191733615474,-66.45391543942684,92
KITTI_transfer,motion,K04i,GRU,3,6.060342605130697,9.306713642778277,0.9622524750600577,-53.56745070648639,15.877856051329728,-9.212455021999311,92
KITTI_transfer,motion,K04i,MLP,3,6.060342605130697,11.571441043219151,1.1992177863854214,-90.93707727716166,19.787953660741266,-14.788247689107989,92
KITTI_transfer,motion,K04i,Mean,1,6.060342605130697,9.495716672377625,0.0,-56.686136264615385,0.0,-9.51901078260244,92
KITTI_transfer,motion,K04i,Oracle_previous_GT,1,6.060342605130697,0.12272413649042992,0.0,97.97496371927006,0.0,0.9982429689080403,92
KITTI_transfer,motion,K04i,Ridge,1,6.060342605130697,16.950553392930104,0.0,-179.69628942396318,0.0,-32.518700003115136,92
KITTI_transfer,motion,K04i,Zero,1,6.060342605130697,6.060342605130697,0.0,0.0,0.0,-3.2846342836723412,92
V103_future1,motion,V103,CfC_fixed,3,1.2205511067989487,1.1941747102226488,0.019548728031117433,2.161023526943954,1.601631256751421,-0.06745149664861698,271
V103_future1,motion,V103,CfC_fixed_head,3,1.2205511067989487,1.2459794601259777,0.02507688853869723,-2.0833501510410453,2.054554569571822,-0.1622343140084963,271
V103_future1,motion,V103,CfC_time,3,1.2205511067989487,1.193521396599811,0.021787097224159127,2.2145496447114463,1.7850212992144674,-0.06635339772657171,271
V103_future1,motion,V103,CfC_time_head,3,1.2205511067989487,1.2459863611356523,0.025060572637417962,-2.0839155521648425,2.0532178044672413,-0.16224657101819848,271
V103_future1,motion,V103,GRU,3,1.2205511067989487,1.2125804840056862,0.014350722610267886,0.6530347438024461,1.1757576172213273,-0.10046952013697748,271
V103_future1,motion,V103,MLP,3,1.2205511067989487,1.2392550467086687,0.012538677401770353,-1.532417594440057,1.0272963853725583,-0.1493753925291359,271
V103_future1,motion,V103,Mean,1,1.2205511067989487,1.2508846225981924,0.0,-2.485231108330832,0.0,-0.17092897373583882,271
V103_future1,motion,V103,Oracle_previous_GT,1,1.2205511067989487,0.8457812732911459,0.0,30.70496855233572,0.0,0.4646815979122103,271
V103_future1,motion,V103,Ridge,1,1.2205511067989487,1.1156816671345176,0.0,8.591974484334763,0.0,0.06851334365675432,271
V103_future1,motion,V103,Zero,1,1.2205511067989487,1.2205511067989487,0.0,0.0,0.0,-0.11482829522641502,271
V103_future1,rich,V103,CfC_fixed,3,1.2205511067989487,1.2341461200523338,0.020738999640071115,-1.1138421961731426,1.6991504513450288,-0.14012332492663324,271
V103_future1,rich,V103,CfC_fixed_head,3,1.2205511067989487,1.2225947135007151,0.04605557051462548,-0.16743311200840072,3.7733422433585866,-0.12015190854165225,271
V103_future1,rich,V103,CfC_time,3,1.2205511067989487,1.2341978193789422,0.02070947784520749,-1.1180779324991914,1.6967317246977693,-0.1402179055524886,271
V103_future1,rich,V103,CfC_time_head,3,1.2205511067989487,1.2220733597516713,0.04691046550236406,-0.12471849349389164,3.8433839632813673,-0.11925760283214892,271
V103_future1,rich,V103,GRU,3,1.2205511067989487,1.216901984117351,0.010260702715612859,0.29897336221899423,0.8406614568170659,-0.1082509670094934,271
V103_future1,rich,V103,MLP,3,1.2205511067989487,1.1997451616623416,0.02431270469224442,1.7046353094687865,1.991944831872514,-0.07758707296658418,271
V103_future1,rich,V103,Mean,1,1.2205511067989487,1.2508846225981924,0.0,-2.485231108330832,0.0,-0.17092897373583882,271
V103_future1,rich,V103,Oracle_previous_GT,1,1.2205511067989487,0.8457812732911459,0.0,30.70496855233572,0.0,0.4646815979122103,271
V103_future1,rich,V103,Ridge,1,1.2205511067989487,1.1416238799987057,0.0,6.466523717080541,0.0,0.024691221780493655,271
V103_future1,rich,V103,Zero,1,1.2205511067989487,1.2205511067989487,0.0,0.0,0.0,-0.11482829522641502,271
V103_future2,motion,V103,CfC_fixed,3,1.0943483970913739,1.0363609525864697,0.06362443470107866,5.298810201488553,5.813910347946187,0.031078237631334587,271
V103_future2,motion,V103,CfC_fixed_head,3,1.0943483970913739,1.0604873713253873,0.007288476572987046,3.0941723728919084,0.6660106226096545,-0.010797979519748849,271
V103_future2,motion,V103,CfC_time,3,1.0943483970913739,1.0366907087430854,0.06418545287995475,5.268677552919576,5.865175391178053,0.030399416507499666,271
V103_future2,motion,V103,CfC_time_head,3,1.0943483970913739,1.0438516406201541,0.01679078127513566,4.614321783212109,1.534317710864585,0.02045867902026059,271
V103_future2,motion,V103,GRU,3,1.0943483970913739,0.9558892083811216,0.02129522931262814,12.652203729475707,1.9459277657122676,0.17839427500924634,271
V103_future2,motion,V103,MLP,3,1.0943483970913739,1.0250162921429793,0.002814941641450194,6.335469136946677,0.25722536341551944,0.05572680372646066,271
V103_future2,motion,V103,Mean,1,1.0943483970913739,1.0683537836458867,0.0,2.375350803690779,0.0,-0.025800802919948795,271
V103_future2,motion,V103,Oracle_previous_GT,1,1.0943483970913739,0.6804444631310799,0.0,37.821952776683666,0.0,0.5838803531371954,271
V103_future2,motion,V103,Ridge,1,1.0943483970913739,0.9029687647125022,0.0,17.4879986014995,0.0,0.2672120731613694,271
V103_future2,motion,V103,Zero,1,1.0943483970913739,1.0943483970913739,0.0,0.0,0.0,-0.07632657161351841,271
V103_future2,rich,V103,CfC_fixed,3,1.0943483970913739,1.0699550874719839,0.005512170032239643,2.229025937646904,0.5036942574129263,-0.028905461223431406,271
V103_future2,rich,V103,CfC_fixed_head,3,1.0943483970913739,1.0851994425986795,0.03238066216051795,0.8360184486961445,2.9588988521919783,-0.059347554159767,271
V103_future2,rich,V103,CfC_time,3,1.0943483970913739,1.0725289783330725,0.0051285423976137395,1.9938274516867214,0.4686389098064823,-0.03385789827765954,271
