model,test,runs,before_m,after_m,gain_mean,gain_std,coverage_mean,mean_gate
MLP_conservative,V202_independent_nominal,3,0.0156353838268325,0.022689803702856084,-45.11830316514016,4.387259395208828,100.0,0.5081272820631663
MLP_conservative,V202_independent_drop50,3,0.01551269967479711,0.02753554122175909,-77.50321864668747,5.617375204903284,100.0,0.5117686688899994
GRU,V103_future_nominal,3,1.5019634390862246,1.1812484657888922,21.353047947189125,1.492105756313022,100.0,0.500814805428187
GRU,V103_future_drop50,3,1.3876227890850479,1.1228960373793884,19.077717214504045,1.205620801779895,100.0,0.5026891827583313
GRU,V202_independent_nominal,3,0.0156353838268325,0.022402836789439804,-43.28293464080755,4.8069676369637095,100.0,0.49941251675287884
GRU,V202_independent_drop50,3,0.01551269967479711,0.026858611265531518,-73.13950394571022,8.087134539880394,100.0,0.5013208786646525
GRU_conservative,V103_future_nominal,3,1.5019634390862246,1.1805397242127482,21.400235618852772,1.557226014059786,97.92746113989638,0.4905746877193451
GRU_conservative,V103_future_drop50,3,1.3876227890850479,1.1226548596890942,19.095097852253097,1.2256724408349557,98.82352941176471,0.49686304728190106
GRU_conservative,V202_independent_nominal,3,0.0156353838268325,0.02221367214204453,-42.07308492115663,3.1299459524039115,96.8075117370892,0.48377654949824017
GRU_conservative,V202_independent_drop50,3,0.01551269967479711,0.02658157811990385,-71.35365653400694,5.615344251079848,96.23777276147479,0.4828931788603465
CfC_fixed,V103_future_nominal,3,1.5019634390862246,1.1430356812982112,23.8972366735092,5.14811006843805,100.0,0.5688531398773193
CfC_fixed,V103_future_drop50,3,1.3876227890850479,1.1857545243189502,14.54777669796003,3.4480240100483646,100.0,0.4418252309163411
CfC_fixed,V202_independent_nominal,3,0.0156353838268325,0.022870123732266115,-46.271584922768504,8.855922521154996,100.0,0.4650946060816447
CfC_fixed,V202_independent_drop50,3,0.01551269967479711,0.025083759927017793,-61.69822437657592,8.740610571085217,100.0,0.397111048301061
CfC_fixed_conservative,V103_future_nominal,3,1.5019634390862246,1.1430356812982112,23.8972366735092,5.14811006843805,100.0,0.5688531398773193
CfC_fixed_conservative,V103_future_drop50,3,1.3876227890850479,1.1857545243189502,14.54777669796003,3.4480240100483646,100.0,0.4418252309163411
CfC_fixed_conservative,V202_independent_nominal,3,0.0156353838268325,0.022870123732266115,-46.271584922768504,8.855922521154996,100.0,0.4650946060816447
CfC_fixed_conservative,V202_independent_drop50,3,0.01551269967479711,0.025083759927017793,-61.69822437657592,8.740610571085217,100.0,0.397111048301061
CfC_time,V103_future_nominal,3,1.5019634390862246,1.1009207691757807,26.701227171976512,0.790559982888677,100.0,0.6888741453488668
CfC_time,V103_future_drop50,3,1.3876227890850479,1.158214348821212,16.532478571867504,3.5801870119510943,100.0,0.5313154260317484
CfC_time,V202_independent_nominal,3,0.0156353838268325,0.025195451878282076,-61.143801503888646,7.707493830740365,99.94366197183099,0.5684619545936584
CfC_time,V202_independent_drop50,3,0.01551269967479711,0.026431060612388316,-70.38337082828885,9.225711067738901,100.0,0.42271532615025836
CfC_time_conservative,V103_future_nominal,3,1.5019634390862246,1.1009270503041841,26.700808977482563,0.7902373947744784,99.74093264248704,0.688673198223114
CfC_time_conservative,V103_future_drop50,3,1.3876227890850479,1.1587311477895856,16.495235095294557,3.6015204957127818,98.82352941176471,0.5304896036783854
CfC_time_conservative,V202_independent_nominal,3,0.0156353838268325,0.025196641478049342,-61.15140988613524,7.7182499746903845,98.3474178403756,0.5673021872838339
CfC_time_conservative,V202_independent_drop50,3,0.01551269967479711,0.026452120392027812,-70.5191291429664,9.41258891185559,97.29119638826187,0.4209155738353729
