case,sequence,condition,model,runs,n,before_m,after_m_mean,gain_pct_mean,gain_pct_std,r2_mean
same_sequence_future,V103,drop50,Mean,1,119,1.1401495795862606,1.1426186856449227,-0.2165598359083809,0.0,-0.017200034310279833
same_sequence_future,V103,nominal,Ridge,1,268,1.2771386185040177,0.664002915686512,48.008547696702266,0.0,0.7269778882506752
same_sequence_future,V103,drop25,Ridge,1,194,1.2656376121041237,1.0106133945917242,20.149860834842094,0.0,0.35220376437588785
same_sequence_future,V103,drop50,Ridge,1,119,1.1401495795862606,1.2938267548180709,-13.47868542718551,0.0,-0.30423538090479907
same_sequence_future,V103,nominal,GRU,3,268,1.2771386185040177,1.0042966210790485,21.363538262163264,1.6737137595698828,0.3751460062514537
same_sequence_future,V103,drop25,GRU,3,194,1.2656376121041237,0.9813371003646467,22.463026463540945,1.5022325849401292,0.388962667015007
same_sequence_future,V103,drop50,GRU,3,119,1.1401495795862606,0.9039030132254156,20.720664252367186,1.5666825696224367,0.36317961405523524
same_sequence_future,V103,nominal,CfC_fixed_head,3,268,1.2771386185040177,1.247120815557061,2.350395055950786,2.19378650003547,0.03640609299597963
same_sequence_future,V103,drop25,CfC_fixed_head,3,194,1.2656376121041237,1.206972301080592,4.635237643261942,2.4974687293031397,0.07538553715400971
same_sequence_future,V103,drop50,CfC_fixed_head,3,119,1.1401495795862606,1.147535282462672,-0.6477836775672374,1.9840959251450916,-0.026371434624547385
same_sequence_future,V103,nominal,CfC_time_head,3,268,1.2771386185040177,1.3031953697185725,-2.0402445621037213,1.6859692816008134,-0.051950851943461794
same_sequence_future,V103,drop25,CfC_time_head,3,194,1.2656376121041237,1.2917654847818492,-2.0644039358381363,3.015659692299486,-0.05928945179914946
same_sequence_future,V103,drop50,CfC_time_head,3,119,1.1401495795862606,1.1769723227741957,-3.2296414301444067,1.7315374061580928,-0.07958886510566805
dense_cross_sequence,V103,nominal,Zero,1,1441,1.5456363468339769,1.5456363468339769,0.0,0.0,-0.0006034173947591093
dense_cross_sequence,V103,drop25,Zero,1,1070,1.5773261554083033,1.5773261554083033,0.0,0.0,-0.0012074392618870444
